PR_ms,QRS_ms,QT_ms,QTc_ms,n_beats
140.0,160.0,360.0,220.1818181818182,7.666666666666667
126.0,133.0,333.0,241.7,5.666666666666667
99.0,133.0,333.0,269.3333333333333,8.25
90.83333333333333,160.0,360.0,457.5833333333333,15.083333333333334
110.66666666666667,114.0,314.0,264.6666666666667,6.75
105.66666666666667,160.0,360.0,517.3636363636364,4.166666666666667
122.0,150.0,350.0,327.6666666666667,7.75
88.33333333333333,160.0,360.0,271.5833333333333,8.5
129.5,160.0,359.0,523.0,4.666666666666667
106.33333333333333,150.0,350.0,245.33333333333334,7.5
131.25,150.0,350.0,251.2,4.916666666666667
129.33333333333334,150.0,350.0,284.9166666666667,10.0
81.25,150.0,350.0,376.75,15.416666666666666
115.33333333333333,114.0,314.0,257.8333333333333,6.25
86.0,160.0,360.0,495.8181818181818,3.6666666666666665
136.5,150.0,350.0,307.5833333333333,7.0
90.0,160.0,360.0,312.5833333333333,10.416666666666666
141.33333333333334,160.0,360.8333333333333,539.6666666666666,5.0
115.83333333333333,133.0,333.0,292.09090909090907,9.833333333333334
108.25,114.0,314.0,208.72727272727272,5.333333333333333
117.5,160.0,360.0,290.6363636363636,7.833333333333333
74.83333333333333,133.0,333.0,424.4,17.0
118.0,133.0,333.0,300.8333333333333,11.333333333333334
96.91666666666667,160.0,360.0,502.6363636363636,4.333333333333333
153.16666666666666,150.0,350.0,324.6666666666667,6.916666666666667
126.66666666666667,160.0,360.0,233.66666666666666,5.583333333333333
91.91666666666667,160.0,356.25,493.8181818181818,3.5833333333333335
145.91666666666666,150.0,350.0,244.8,6.083333333333333
120.83333333333333,150.0,350.0,227.4,4.666666666666667
107.33333333333333,150.0,350.0,229.6,4.166666666666667
91.66666666666667,150.0,350.0,416.8,14.083333333333334
98.83333333333333,114.0,314.0,302.9166666666667,10.333333333333334
120.5,160.0,357.6666666666667,505.5833333333333,4.083333333333333
143.83333333333334,150.0,350.0,308.3333333333333,6.75
93.33333333333333,160.0,360.0,290.0833333333333,8.333333333333334
78.75,160.0,357.0833333333333,499.90909090909093,3.5
103.16666666666667,150.0,350.0,329.72727272727275,14.916666666666666
98.33333333333333,160.0,360.0,290.9166666666667,6.833333333333333
111.5,150.0,350.0,239.16666666666666,7.0
126.0,150.0,350.0,285.7,9.25
104.83333333333333,114.0,314.0,285.3333333333333,9.083333333333334
73.5,160.0,359.0,531.4166666666666,4.416666666666667
152.08333333333334,150.0,350.0,313.4166666666667,6.416666666666667
121.66666666666667,160.0,360.0,293.6666666666667,10.583333333333334
127.41666666666667,160.0,357.5,542.7272727272727,4.416666666666667
95.83333333333333,150.0,350.0,382.8181818181818,16.0
173.33333333333334,160.0,360.0,205.91666666666666,9.416666666666666
112.5,160.0,360.0,302.4166666666667,10.083333333333334
107.5,133.0,333.0,350.90909090909093,12.333333333333334
126.08333333333333,150.0,350.0,308.27272727272725,5.416666666666667
70.16666666666667,160.0,359.5833333333333,526.2727272727273,4.25
111.5,150.0,350.0,327.6666666666667,8.166666666666666
98.33333333333333,160.0,360.0,290.3333333333333,10.25
128.16666666666666,160.0,360.0,532.6666666666666,4.916666666666667
160.83333333333334,160.0,360.0,338.0,11.833333333333334
160.66666666666666,114.0,314.0,211.72727272727272,8.0
116.58333333333333,114.0,314.0,145.0,4.583333333333333
85.0,133.0,333.0,430.1818181818182,17.666666666666668
148.75,114.0,314.0,301.1666666666667,11.25
129.66666666666666,160.0,357.0833333333333,550.0,5.083333333333333
129.25,150.0,350.0,313.0,7.666666666666667
101.33333333333333,133.0,333.0,250.91666666666666,6.416666666666667
127.08333333333333,160.0,360.0,497.0,3.8333333333333335
132.33333333333334,150.0,350.0,278.72727272727275,10.583333333333334
134.83333333333334,145.0,345.0,229.0909090909091,5.25
177.08333333333334,150.0,350.0,272.4166666666667,8.666666666666666
86.81818181818181,133.0,333.0,401.2,14.0
91.66666666666667,114.0,314.0,294.6666666666667,8.916666666666666
84.66666666666667,160.0,360.0,519.6363636363636,4.0
156.25,150.0,350.0,304.8333333333333,6.916666666666667
102.83333333333333,133.0,333.0,212.58333333333334,5.0
105.58333333333333,160.0,356.25,528.2727272727273,3.8333333333333335
121.91666666666667,150.0,350.0,304.0833333333333,11.916666666666666
107.41666666666667,133.0,333.0,240.9090909090909,4.583333333333333
132.5,160.0,360.0,282.5,7.166666666666667
113.16666666666667,114.0,314.0,211.41666666666666,6.75
128.16666666666666,150.0,350.0,364.0833333333333,8.25
125.41666666666667,160.0,357.5,558.9090909090909,5.0
130.25,150.0,350.0,311.0,7.583333333333333
93.33333333333333,160.0,360.0,267.0,6.083333333333333
140.75,160.0,358.5,529.3333333333334,4.5
125.58333333333333,133.0,333.0,323.75,8.833333333333334
144.91666666666666,150.0,350.0,298.77777777777777,7.416666666666667
101.66666666666667,160.0,360.0,270.75,6.583333333333333
65.83333333333333,160.0,360.0,477.0833333333333,17.833333333333332
